#Bin1	Bin2	over npts	over nmax	Counts	max1000	over sqrtnpts
1.85	3.31	   0.00000	   0.00000	0	         0	   0.00000
1.85	3.45	   0.00000	   0.00000	0	         0	   0.00000
1.85	3.59	   0.00000	   0.00000	0	         0	   0.00000
1.85	3.73	   0.00000	   0.00000	0	         0	   0.00000
1.85	3.87	   0.00000	   0.00000	0	         0	   0.00000
1.85	4.01	   0.00000	   0.00000	0	         0	   0.00000
1.85	4.15	   0.00000	   0.00000	0	         0	   0.00000
1.85	4.29	   0.00000	   0.00000	0	         0	   0.00000
1.85	4.43	   0.00000	   0.00000	0	         0	   0.00000
1.85	4.57	   0.00000	   0.00000	0	         0	   0.00000
1.85	4.71	   0.00000	   0.00000	0	         0	   0.00000
1.85	4.85	   0.00000	   0.00000	0	         0	   0.00000
1.85	4.99	   0.00000	   0.00000	0	         0	   0.00000
1.85	5.13	   0.00000	   0.00000	0	         0	   0.00000
1.85	5.27	   0.00000	   0.00000	0	         0	   0.00000
1.85	5.41	   0.00000	   0.00000	0	         0	   0.00000
1.85	5.55	   0.00000	   0.00000	0	         0	   0.00000
1.85	5.69	   0.00000	   0.00000	0	         0	   0.00000
1.85	5.83	   0.00000	   0.00000	0	         0	   0.00000
1.85	5.97	   0.00000	   0.00000	0	         0	   0.00000
1.85	6.11	   0.00000	   0.00000	0	         0	   0.00000
1.85	6.25	   0.00000	   0.00000	0	         0	   0.00000
1.85	6.39	   0.00000	   0.00000	0	         0	   0.00000
1.85	6.53	   0.00000	   0.00000	0	         0	   0.00000
1.85	6.67	   0.00000	   0.00000	0	         0	   0.00000
1.85	6.81	   0.00000	   0.00000	0	         0	   0.00000
1.85	6.95	   0.00000	   0.00000	0	         0	   0.00000
1.85	7.09	   0.00000	   0.00000	0	         0	   0.00000
